GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
He,273,gbm,random_struct,0.01,0.9576121589653808,0.9619202934949443,0.9612729884258752,0.0359937372549007,0.0343793938012125,0.0393793425130897,0.0011178090924308,0.0054528270595931,0.0158610615408174,6.075675233135931e-05,0.0003097382066508,0.0009151361602228,struct+input,struct+input,struct+input
He,273,gbm,random_struct,0.05,0.9676081100715406,0.9603281400566864,0.9610676107249364,0.0371911178028286,0.035876214665869,0.0381712143813886,0.000725096687894,0.0035628119299923,0.0105628683371216,4.906211276684314e-05,0.0002659394420424,0.000755542272945,struct+input,struct+input,struct+input
He,273,gbm,random_struct,0.1,0.9711433249968248,0.961061853237648,0.9573284591107134,0.0380251188498499,0.0341383764457884,0.0384390726738361,0.0005887655782211,0.0029306167967855,0.0088156901165131,5.960001489652917e-05,0.0002905508721569,0.00087826972843,struct+input,struct+input,struct+input
He,273,gbm,random_struct,0.5,0.9681042429308476,0.9660664074922152,0.961435884609616,0.0369342998959255,0.0337863241183115,0.0379906747189035,0.0004154463475453,0.0019831532343212,0.0062648600151155,5.278511601291095e-05,0.0002107161651474,0.0007733229098619,struct+input,struct+input,struct+input
He,273,rf,random_struct,0.01,0.9624553953937508,0.9583484714460744,0.9574944337552348,0.0454605407526951,0.0408442445464282,0.0454197992199518,0.0010886901061374,0.0054043084103381,0.0156839128510065,5.788382936802719e-05,0.0002874823693653,0.0008286874614977,struct+input,struct+input,struct+input
He,273,rf,random_struct,0.05,0.9653201906458566,0.9618249544387834,0.9598976867206446,0.0459609892077872,0.0413326262875866,0.0461549389512009,0.0007136337540664,0.0034977601284065,0.010413172488149,5.743740432187707e-05,0.0002720603387827,0.0008584435045388,struct+input,struct+input,struct+input
He,273,rf,random_struct,0.1,0.9663982463523434,0.9631871560158594,0.9607006608671927,0.0460920353489354,0.0417049933674738,0.0459608841134454,0.0005910414416686,0.002887678542343,0.0086357744403774,6.370183303305419e-05,0.0002824446631939,0.0008350426499719,struct+input,struct+input,struct+input
He,273,rf,random_struct,0.5,0.966678397965911,0.9641149538855012,0.9612615141110904,0.0459293022006556,0.0416461662881901,0.0461044205289391,0.000413106291147,0.0019648871558743,0.0061460291391303,5.972163261283108e-05,0.0002409713354268,0.0008290321289581,struct+input,struct+input,struct+input
He,293,cat,random_struct,0.01,0.9620504214815976,0.9645283160225724,0.9618747910686476,0.0518890758377667,0.0475010613958902,0.0554127698790485,0.0009927329122881,0.004860525578544,0.0143092847922627,5.896333573133213e-05,0.0002925643251146,0.0009120531340917,struct+input,struct+input,struct+input
He,293,cat,random_struct,0.05,0.964618139227652,0.965707427173057,0.9635691169400784,0.0506987459666421,0.048760451604168,0.0549607232384122,0.0006788491998246,0.0033264845698965,0.0099251033633341,5.016232371157563e-05,0.0002224592801208,0.0007848243686252,struct+input,struct+input,struct+input
He,293,cat,random_struct,0.1,0.9651996266953896,0.9665219110334248,0.9633139467391136,0.0517897630648422,0.0479236433557644,0.0545988163465344,0.0005901036015416,0.0028709770821934,0.0087475606777906,5.234879388054893e-05,0.0002248651328175,0.0007019133559366,struct+input,struct+input,struct+input
He,293,cat,random_struct,0.5,0.9657989546142416,0.9672442498954604,0.9646102494918758,0.0509589954098655,0.0482976823817085,0.0551694141629002,0.0004866626403966,0.0023406542436147,0.0071418741742526,3.8247736345430656e-05,0.0001839225102199,0.0005875447619288,struct+input,struct+input,struct+input
He,293,cat,random_struct,Henry,0.9657879703239424,0.96736386885503,0.9641132310860692,0.0516088677828159,0.0487666446484338,0.054998518404931,0.0004407389420288,0.0020949589748794,0.0064419913588894,3.25806281268011e-05,0.0001490131388065,0.000497665712476,struct+input,struct+input,struct+input
He,293,gbm,random_struct,0.01,0.9599495312369916,0.956490953162442,0.9606266182622588,0.0361854096988093,0.0364356846944087,0.0403595239884584,0.0009724075681951,0.0048130560204481,0.0140092275426816,5.048087328450679e-05,0.0002316005501214,0.0006571960387046,struct+input,struct+input,struct+input
He,293,gbm,random_struct,0.05,0.9584156388313988,0.9579856851566928,0.9574258914373937,0.0366544732083741,0.0379798639451009,0.0398909465547979,0.0006256981376732,0.003053935606133,0.0090698441407618,6.397404539183075e-05,0.0002877925896754,0.0008833620537393,struct+input,struct+input,struct+input
He,293,gbm,random_struct,0.1,0.9543399740369602,0.9656756197547076,0.9591268853810188,0.0379502073283882,0.03589638925445,0.0398726347955907,0.0005124793879048,0.0024187338998651,0.0073787907727275,6.766129860710019e-05,0.0002902106039162,0.0009170974963042,struct+input,struct+input,struct+input
He,293,gbm,random_struct,0.5,0.9639428988271532,0.9595272331620714,0.9559988413032576,0.0365779332983845,0.0352816185772779,0.0401031572825969,0.0003314918277241,0.0015680734190149,0.004955877481334,5.394547480452318e-05,0.0002839412857811,0.0008976603792783,struct+input,struct+input,struct+input
