---- START at 2025-08-16 12:11:23, Target=2039/2039 ----
[165/2039] c6cc02494g_c6cc02494g4_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=303.2s, Completed=173/2039, ETA=2025-08-16 18:16:12
[179/2039] UMOYOM19_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=167.0s, Completed=174/2039, ETA=2025-08-16 18:14:33
[173/2039] TOVJIZ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=239.9s, Completed=175/2039, ETA=2025-08-16 18:14:34
[169/2039] SOXDEQ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=280.9s, Completed=176/2039, ETA=2025-08-16 18:17:12
[185/2039] HICZAW_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=190.7s, Completed=177/2039, ETA=2025-08-16 18:22:41
[189/2039] GUCHUJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=156.1s, Completed=178/2039, ETA=2025-08-16 18:21:09
[172/2039] IZENUY_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=353.8s, Completed=179/2039, ETA=2025-08-16 18:27:47
[180/2039] HUQHEI_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=292.0s, Completed=180/2039, ETA=2025-08-16 18:26:32
[187/2039] PUZKUS_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=217.6s, Completed=181/2039, ETA=2025-08-16 18:25:41
[193/2039] WOPHIU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=186.2s, Completed=182/2039, ETA=2025-08-16 18:24:52
[183/2039] OBIBAF_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=267.8s, Completed=183/2039, ETA=2025-08-16 18:23:37
