MOF,Total time (s)
QARLON_clean,117.7
QARLUT_clean,111.2
QARMAA_clean,110.8
QAVPOU_clean,252.0
QETQIP_clean,322.4
QIKYOA_clean,123.9
QILBUK_clean,434.8
QITHAC_clean,729.5
QITHEG_clean,1022.6
QIWHEL_clean,304.3
QIWQES_clean,151.0
QIYDAF01_clean,127.8
QOGGID_clean,235.9
QOGPIM_clean,261.2
QOPDAA_clean,246.4
QOTHOY_clean,144.4
QOZPEC_clean,141.5
QUJWEZ_clean,178.7
QUNMUI_clean,100.3
QUQGEP_neutral,142.6
QUQMOG_clean,467.0
QUQPIC_clean,155.9
QUQQOJ_clean,444.8
QUQZOS_clean,393.9
QURPIE_clean,753.3
QUSSAA_clean,277.8
QUSSOO_clean,176.4
QUTDAM_clean,128.4
RACZIG_clean,199.3
RAHNUL_clean,2177.8
RAHPAT_clean,1634.8
RANCEQ_clean,124.5
RANVUA_clean,237.7
RAXBOJ_clean,110.6
RAZXIA01_clean,96.2
REHHET_clean,244.8
REHHIX_clean,174.1
REHHUJ_clean,209.7
REHJAR_clean,265.4
REHTUV_clean,868.3
REJLOI_clean,319.4
REKZIR_clean,294.1
RELLAW_clean,143.2
RESDUQ_clean,152.6
RESZIA_clean,215.8
RETVIW_clean,230.8
REXCEE_clean,146.3
REXGAE_clean,299.5
RIRDIH_clean,450.3
RITGEI_clean,158.9
RITGUY_clean,77.2
RIWNAO_clean,447.9
RIZXUT_clean,45.4
ROBYOY_clean,473.8
ROKRIU_clean,1487.8
ROKROA_clean,508.0
ROMMAJ_clean,206.5
RONSOE_clean,253.5
RORTID_clean,162.4
RORTOJ_clean,154.5
RORTUP_clean,168.6
RUBLUX_clean,123.6
RUBTAK04_clean,494.2
RUBTAK06_clean,508.0
RUBTAK07_clean,508.6
RUBTAK08_clean,515.6
RUBTAK09_clean,517.3
RUDPOW_clean,149.1
