GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,313,0.01,15,struct+input,qt_then_rd,gbm,0.9885463987097809,0.0007977307515091201,0.012156893981116159,0.0002773754781382217
He,293,0.1,1,struct+input,qt_then_rd,cat,0.9962245598784614,0.00012307578380075092,0.00049598660997966,5.585821626206648e-06
He,293,0.1,1,struct+input,qt_then_rd,gbm,0.997438727330076,0.00010941385735050875,0.00041687807513493997,3.4352826640287133e-06
He,293,0.05,5,struct+input,qt_then_rd,rf,0.9959061928665787,0.00014901934283693144,0.00258002893099704,2.8226098683972998e-05
Ar,293,0.01,15,struct+input,qt_then_rd,gbm,0.9585061702148288,0.002745191327510337,0.18898054888560292,0.004302424833216536
Ar,313,0.1,1,struct+input,qt_then_rd,rf,0.9944510396854008,0.0006503727627363374,0.004566480906099279,9.393083393514357e-05
Ar,313,0.05,5,struct+input,qt_then_rd,rf,0.9678288954047891,0.002281689447081201,0.04180690099015674,0.001548830159396035
He,273,0.1,1,struct+input,qt_then_rd,rf,0.996386282858208,0.000488474081763003,0.00049491748865366,1.681536554425935e-05
Ar,273,0.5,1,struct+input,qt_then_rd,gbm,0.9955977878974975,0.0006172609983643785,0.01019056668775424,0.00022670729978618498
He,313,0.05,5,struct+input,qt_then_rd,gbm,0.9952311398428353,0.00029161884660132035,0.00255074539438514,4.2926204095785806e-05
Ar,313,0.01,15,struct+input,qt_then_rd,gbm,0.9606531780207881,0.0011453341644014493,0.1364785043126691,0.0019670650261740343
He,313,0.5,15,struct+input,qt_then_rd,gbm,0.9984310384903126,0.00014890387510112693,0.00354101633822308,6.615024157290503e-05
Ar,293,0.05,15,struct+input,qt_then_rd,rf,0.9583864277743291,0.0032482907815801357,0.17705731996234464,0.0028481810267024623
Ar,313,0.01,5,struct+input,qt_then_rd,rf,0.964731049880412,0.004164171693038991,0.04675492362279552,0.0009656789636687465
Ar,273,0.01,15,struct+input,qt_then_rd,gbm,0.9392760299965788,0.0022309881834162598,0.27437417783803486,0.003435161111579093
He,273,0.5,1,struct+input,qt_then_rd,rf,0.9977733247733805,0.00042859468975262163,0.00031761131057538,8.359554178748898e-06
He,293,0.05,1,struct+input,qt_then_rd,cat,0.9947938580494078,0.0003564749544407678,0.0005823621888603,5.935682275214815e-06
Ar,313,0.1,15,struct+input,qt_then_rd,rf,0.9626846587313919,0.0012102307872042914,0.12269649041229494,0.002803950565765638
He,293,0.01,1,struct+input,qt_then_rd,rf,0.9881930198071196,0.0005239063529378416,0.0008931889217769799,2.0803849815204623e-05
He,293,Henry,5,struct+input,qt_then_rd,gbm,0.9729612178193298,0.001071602942384605,0.00625252338587246,9.180871766523914e-05
Ar,293,0.01,1,struct+input,qt_then_rd,rf,0.9846541663572526,0.002060512866631587,0.012030517429698061,0.0002000648679378432
Ar,313,0.1,15,struct+input,qt_then_rd,gbm,0.9611431284077894,0.0005789703478097422,0.13081153641088078,0.0008990747168645592
He,273,0.01,5,struct+input,qt_then_rd,gbm,0.987924339492696,0.0006056558627576836,0.00509541993824412,0.00011035847262570698
Ar,273,0.01,5,struct+input,qt_then_rd,gbm,0.9388776263867926,0.0016469149941888727,0.1213845867661851,0.0010486936118206864
He,313,0.1,5,struct+input,qt_then_rd,rf,0.9967575775665548,0.00019555471009139873,0.0019819291825788803,4.0954965471567515e-05
He,313,0.5,1,struct+input,qt_then_rd,cat,0.9963913542782452,0.0004288076227644329,0.00039865400311301996,7.872868931970158e-06
Ar,273,0.5,5,struct+input,qt_then_rd,cat,0.958574445986882,0.003611545483674358,0.10162281289197546,0.0019220128743720909
He,273,0.1,15,struct+input,qt_then_rd,cat,0.9953278187981625,0.0003212571173082429,0.008627448115032181,0.00018118839855500387
He,293,0.01,15,struct+input,qt_then_rd,cat,0.9883199774901368,0.0007885885288680813,0.0132905336939468,0.0002670589483639262
He,273,0.05,5,struct+input,qt_then_rd,gbm,0.9950336271788618,0.0003755671340594939,0.0030481825389778202,5.790184885778283e-05
Ar,293,0.5,5,struct+input,qt_then_rd,rf,0.9708678122435378,0.0017828740205110948,0.06191450401041214,0.0010701543157865577
