name,N2_293_0.01,N2_293_5
CAVSUP_clean,0.001955779,0.7433439195
CAVVUS_clean,0.0038557433,1.4396494839
CAWDOU02_clean,0.0038494104,1.4044468088
CAWVIH_SL,0.00351323,1.0504627072
CAXSUR_SL,0.0019676987,0.9417655375
CAXTAY_clean,0.0015418511,0.6918077326
CAXTEC_clean,0.001788165,0.8073818191
CAXVII_clean,0.0027724322,1.2238598676
CAXVOO_clean,0.0027379131,1.1783872553
CAXVUU_clean,0.0027578979,1.2000416588
CAXWAB_clean,0.0027815162,1.2222592694
CAXWEF_clean,0.0026616076,1.2410540344
CAXWIJ_clean,0.0028596385,1.2366028817
CAXXEG_clean,0.0027291688,1.0212754354
CAXZOS_clean,0.0047450247,1.8188603494
CAXZUY_clean,0.0048119015,1.8176438797
CAYCAI_clean,0.0005201449,0.2332466457
CAYDEN_clean,0.0012893353,0.4396722923
CAYDIR_clean,0.0011283281,0.437701871
CAYDUD_clean,0.0012803905,0.434383334
CAYKEU_clean,0.0059017986,1.790493463
CAYMIZ_clean,0.0043563011,1.1912838095
CAYQAV_clean,0.0047842806,1.8535975922
CAYQIE_clean,0.0044637344,1.827939448
CAYQOK_clean,0.0044041879,1.829137523
CAYQUQ_clean,0.0042397704,1.7347106752
CAYSIE_clean,0.0006830279,0.3069416559
CAYSOK_clean,0.0008106536,0.347077635
CAYYEG_clean,0.0006607241,0.3153065263
CAZGIT_clean,0.0037062428,0.9117147426
CAZNEY_clean,0.0043836779,1.7814534892
CEBDOD_clean,0.0029326158,0.8369971253
CECVAI_clean,0.0024494061,1.1597841616
CEDFIC_clean,0.0049076373,1.6573303429
CEDFOI_clean,0.0050128958,1.6701792597
CEDFUO_clean,0.0059175515,1.762324894
CEGDUO_clean,0.0011484392,0.4282410206
CEGWER_clean,0.0200192485,1.8363545416
CEHLAD_clean,0.0035105593,1.4583188544
CEJBEA_clean,0.000929196,0.3395907354
CEJCAW_clean,0.0021063304,0.8509041616
CEJZAU_clean,0.0047216383,1.6668631853
CEKHIL_clean,0.0036736805,1.7588613026
CEKNIQ_clean,0.002764993,1.4100456601
CELZEA_clean,0.0031787569,1.1187495847
CEMKOV_clean,0.0083667876,2.6786004281
CEMYUQ_clean,0.0065607313,2.1326327156
