,MOF,Ar_273_0.01,Ar_273_0.05,Ar_273_0.1,Ar_273_0.5,Ar_273_1,Ar_273_5,Ar_273_15,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_1,Ar_293_5,Ar_293_15,Ar_313_0.01,Ar_313_0.05,Ar_313_0.1,Ar_313_0.5,Ar_313_1,Ar_313_5,Ar_313_15
4486,KOGSOQ_clean,0.008336495,0.041043122,0.080731426,0.382407646,0.716964862,2.665799083,4.947802853,0.005182632,0.025942222,0.051563384,0.257264752,0.480328284,1.927750947,3.944388533,0.003505369,0.018067941,0.036409891,0.174339857,0.346187346,1.426566096,3.147993034
4487,KOGYIP_clean,0.002390237,0.011630405,0.022801845,0.113260733,0.212127401,0.788255222,1.502917255,0.001483823,0.007706998,0.015043863,0.073753586,0.144419437,0.586901471,1.189162651,0.001008407,0.005357883,0.010658189,0.052223315,0.098323806,0.430698634,0.929383354
4488,KOHDIW_clean,0.006581074,0.032412477,0.065215963,0.327445597,0.647839256,2.450447913,5.916639227,0.003744879,0.018705121,0.038277622,0.182661988,0.373656333,1.698649653,4.430784072,0.003155611,0.015951532,0.031955382,0.156640572,0.312344923,1.238340671,3.33670661
4489,KOHKIC_clean,0.005376707,0.027589909,0.055018254,0.269776557,0.525173899,2.107169605,4.730796197,0.003717856,0.018852292,0.037558049,0.185686152,0.357188466,1.539075937,3.694502525,0.002639509,0.013221965,0.026774573,0.132460119,0.260135306,1.148554422,2.902155819
4490,KOHKOI_clean,0.005595716,0.027677576,0.054725096,0.270600467,0.52349581,2.122147084,4.778687926,0.003666288,0.018682926,0.037629466,0.184008033,0.359963693,1.534557559,3.69273373,0.002613703,0.013358301,0.027030694,0.130359812,0.261904952,1.145712172,2.914525261
4491,KOHLIE_clean,0.00597,0.030390108,0.059957399,0.291702803,0.557951524,1.975054397,4.2251389,0.003341001,0.016862066,0.033651709,0.164720349,0.321644446,1.417164777,3.299176346,0.002912578,0.01414232,0.028267189,0.140648375,0.277647738,1.215280595,2.58330335
4492,KOHSOR_clean,,,,,,,,0.003445076,0.017798411,0.036276544,0.162123336,0.307623579,0.932422992,1.561498635,,,,,,,
4493,KOJTOU_clean,0.005680315,0.027588448,0.05627265,0.273132354,0.528730325,2.070882841,4.350192964,0.003593055,0.018562957,0.038073406,0.182057366,0.354076881,1.491574025,3.38578329,0.002543632,0.013074918,0.026311999,0.129136825,0.25365434,1.103941011,2.6498349
4494,KOJYEO_clean,,,,,,,,0.006701582,0.0333242,0.067106385,0.322371986,0.609678395,2.13853444,3.908750949,,,,,,,
4495,KOJZAL_SL,,,,,,,,0.006439812,0.031268187,0.063190569,0.306804461,0.567870875,2.183765796,4.068501189,,,,,,,
4496,KOJZEP_manual,0.005150773,0.02597175,0.050846213,0.252737262,0.500812525,2.241610737,5.594196788,0.003761007,0.018677441,0.037827952,0.1845975,0.364264076,1.681746997,4.407711136,0.002818792,0.014270624,0.028503952,0.140747217,0.282008726,1.297560883,3.550719879
4497,KOJZIT_clean,0.005571646,0.028788942,0.055526945,0.278976047,0.550413737,2.498628502,6.355407866,0.004131357,0.020469377,0.041330412,0.204443195,0.412346033,1.868186003,4.94980115,0.003103782,0.015659988,0.031545285,0.157741164,0.310144414,1.443795444,3.915153202
4498,KOJZOZ_clean,0.002357772,0.012190074,0.023956791,0.120008009,0.236819348,1.043232216,2.534942781,0.001626993,0.008606521,0.016934277,0.08329971,0.168277217,0.758612639,1.966146457,0.001273979,0.006207064,0.012673352,0.06251614,0.123183838,0.576649902,1.546128181
4499,KOJZUF_clean,0.00577403,0.029003429,0.058284716,0.275077385,0.516285434,1.835827535,3.139339655,0.003712683,0.018582618,0.038050767,0.180430531,0.352083677,1.343593737,2.582947709,0.002486041,0.012610923,0.02537433,0.122812207,0.242083415,0.985008542,2.084455324
4500,KOKDEU_clean,,,,,,,,0.000987709,0.00511513,0.0095099,0.047923297,0.091635833,0.337905534,0.642341169,,,,,,,
4501,KOKKOL_clean,0.011481887,0.05695864,0.111775174,0.488687264,0.834581397,2.444423245,4.011000503,0.007025706,0.033829578,0.066234981,0.303903543,0.557152877,1.768583013,3.183070756,0.00416066,0.021294167,0.041997292,0.200013899,0.379803849,1.306535961,2.504275319
4502,KOKSIO_clean,,,,,,,,0.003469251,0.017207938,0.03452032,0.162591866,0.3227928,1.291627086,2.731652877,,,,,,,
4503,KOKZIT_clean,,,,,,,,0.000565969,0.003083746,0.006199928,0.03089562,0.061688336,0.281983209,0.679307677,,,,,,,
4504,KOLTUC_clean,,,,,,,,0.00235997,0.011441834,0.022273137,0.100188472,0.175032416,0.461644117,0.639277487,,,,,,,
4505,KOLWEO_clean,,,,,,,,0.009266755,0.045270469,0.088766922,0.392626878,0.677850482,1.829486328,2.743842918,,,,,,,
4506,KOLYUH_clean,,,,,,,,0.00556476,0.027962295,0.057375378,0.278085885,0.5319511,2.025681631,4.050368824,,,,,,,
4507,KOMCOG_clean,0.004858009,0.023654271,0.047322894,0.233451384,0.45169153,1.968332801,4.345120323,0.00321332,0.015746559,0.031698346,0.158714179,0.307330582,1.358802329,3.313722139,0.002214449,0.011225805,0.022227725,0.108667281,0.217884227,0.993172738,2.555723084
4508,KOMDAT_clean,0.003835422,0.019760325,0.038663067,0.192171892,0.37658244,1.651965963,3.728414247,0.002831319,0.013648076,0.026260444,0.130536573,0.257589662,1.165560937,2.849898166,0.001884672,0.009556953,0.018467486,0.095355492,0.188460007,0.846223428,2.196202575
4509,KOMFUO_clean,,,,,,,,0.000187515,0.001006514,0.001949603,0.010160271,0.019069984,0.098097839,0.289215451,,,,,,,
4510,KOMGEZ_clean,,,,,,,,0.009638759,0.047486725,0.094259864,0.418900459,0.762262637,2.158764834,3.057596998,,,,,,,
4511,KOMGID_clean,,,,,,,,0.003645196,0.018149045,0.036255239,0.175514779,0.34190829,1.384476245,3.121425323,,,,,,,
4512,KOMGUP_clean,0.009203605,0.045403285,0.089758009,0.415282775,0.717974585,1.87115082,2.518716207,0.005299223,0.025601237,0.052544788,0.244530719,0.47145767,1.442571331,2.221025959,0.003153465,0.016319815,0.032555978,0.153650211,0.296577473,1.059867858,1.90939899
4513,KOMHAW_clean,,,,,,,,0.004575491,0.023311277,0.044922364,0.214372774,0.384593955,1.203404673,2.067563154,,,,,,,
4514,KOMHEB_clean,0.013168863,0.064137875,0.125925769,0.491637554,0.807215523,1.768941662,2.498987887,0.007178302,0.036259874,0.067754727,0.292659311,0.523353132,1.369467847,2.091570699,0.00418214,0.020540578,0.041241162,0.192933207,0.34463668,1.042729724,1.727361348
4515,KOMHIE_clean,,,,,,,,0.041376247,0.182752637,0.321236376,0.922487058,1.237431641,1.844863239,2.193468586,,,,,,,
4516,KOMHIF_clean,0.019910723,0.095280465,0.179790072,0.639552414,0.962745565,1.840999908,2.54080131,0.010633411,0.050246501,0.097111951,0.389810029,0.659640058,1.478833809,2.142147322,0.005992565,0.0294498,0.055983423,0.258104006,0.433964111,1.155453137,1.787628207
