name,H2_293_0.01,H2_293_5
BIRMUM_clean,0.0008962458,0.3657328293
BIRSEC_clean,0.0016442582,0.7194522896
BIRSIG_clean,0.0018117159,0.7558375984
BIWHAQ_clean,0.0058238712,1.4355068665
BIWSEG_ion_b,0.0183641616,9.8874242671
BIWSIK_ion_b,0.0021448116,1.0274069016
BIWSOQ_clean,0.0045582716,1.8065998021
BIWYAH10_clean,0.0011835708,0.6176231428
BIXXIR_clean,0.0004702737,0.2064203019
BIXYEO_clean,0.0004909688,0.2203074849
BIYSUZ_clean,0.0012328281,0.5624849164
BIYTAG_clean,0.0011705534,0.5774273581
BIYTOU_clean,0.0021313337,0.9814402486
BIYVEM_clean,0.0012169576,0.560308873
BIYVIQ_clean,0.0011471444,0.4947208965
BIZMEE_clean,0.0025040974,1.1726145412
BIZMII_clean,0.0026460845,1.1709133232
BOCKOT_clean,0.0015244411,0.6896844601
BOCTEU01_clean,0.000704682,0.3261718477
BOFCEG_clean,0.0047342806,1.6783470745
BOHJOZ_auto,0.0013944065,0.5866005934
BOHWOM_clean,0.0025408759,1.1109227258
BOHXIH_clean,0.0021258371,0.7638043745
BOJCIN_clean,0.0011247228,0.515651814
BOKQEZ_clean,0.001292796,0.599394633
BOLPAU_clean,0.0027543664,1.2057379406
BOLZIN_clean,0.0025545741,1.1629854863
BOMCOX_clean,0.0025264386,1.0958238129
BONNIC_clean,0.0028841591,0.874439288
BONWIL_clean,0.000362316,0.1714219545
BOPHEV_clean,0.0023731781,0.9352939001
BOPHIZ_clean,0.002755017,1.1516244706
BOPWIO_clean,0.0005964753,0.2404600042
BOQYUD_clean,0.0020192361,0.5551122316
BORBEQ_clean,0.0022752083,0.9975428965
BOSHIC_clean,0.0060422333,2.0387710064
BOWDIC_clean,0.0029934295,1.255821264
BOWNUY_clean,0.0021569279,0.9941706109
BOWSOW_clean,0.0055476646,1.9575869605
BOWZUK_clean,0.0016784164,0.8231854482
BOXFOK_clean,0.002585705,0.9958793797
BOXYEU_clean,0.0020046739,0.7555129892
BOXYIY_clean,0.0016751418,0.690974231
BOYCEY_auto,0.0031262771,1.3518070589
BOYTEQ_clean,0.0018140677,0.6581188488
BUBQOE_clean,0.0009431209,0.3993121713
BUBTUP_clean,0.001716166,0.7300817593
BUCSAU_clean,0.0056590945,1.6009815689
BUCSIC01_clean,0.006692873,1.7094707224
BUJKEW01_clean,0.0010647212,0.5100785214
BUKMUQ01_clean,0.0027143682,1.2929791893
BUKRUW02_clean,0.0015312423,0.7699308647
BUKRUW03_clean,0.001505329,0.7209543852
BULBER_clean,0.001273215,0.5734714292
BUNKUS_clean,0.0024781463,1.220583563
BUNLAZ_clean,0.0028637944,1.355185322
BUPDOH_clean,0.0054738529,2.0518935092
BUPDUM_clean,0.0011384561,0.4994334964
BUPVEP_clean,0.0009826728,0.458794872
BUQWER_clean,0.0036465456,1.3043681727
BURHUS_clean,0.0015948397,0.6986577713
BURJOO_clean,0.0014222858,0.6083227679
BURQIQ_clean,0.0027885538,1.1899722835
BUSGIG_clean,0.0005891548,0.2736225351
BUSGOM_clean,0.000710247,0.3060134679
BUSNAF_clean,0.0008676665,0.3987363337
BUSQEM_clean,0.0065241087,2.2383432268
BUSRUE_clean,0.0027634026,1.2165277988
BUVHEH_clean,0.0026372769,1.1672530106
BUVKUA_clean,0.0014889056,0.4470353356
BUVVIZ_clean,0.0008323829,0.3530269389
BUVVOF_clean,0.0005777701,0.2555426682
BUVWOF02_clean,0.0008328388,0.3868577999
BUVWOF03_clean,0.0010410485,0.4847788251
BUVXOG_clean,0.0008036895,0.3793941759
BUVYEX_clean,0.0010452127,0.500348747
BUVYIB01_clean,0.0034951469,1.5387780041
BUVYIB_clean,0.0034701618,1.5866495799
BUWLUC_clean,0.0013653162,0.6172412117
BUWMAJ_clean,0.0016219599,0.7416015964
BUWMEN_clean,0.0015158286,0.7473401108
BUWMIR_clean,0.0019811594,0.906557052
BUXNOZ_clean,0.0023455325,1.0805806867
BUXTOF_clean,0.0036358172,1.3901123869
BUXTUL_clean,0.0020487039,0.8996242844
BUXZAX_clean,0.0020164333,0.9317386499
CABJOH_clean,0.0048982128,2.0296287534
CACBUG_clean,0.0010797335,0.4790021006
CACNOM_clean,0.00350913,1.4104310134
CAHQAG_clean,0.0033905748,1.1080483759
CAJBUN_clean,0.0006746392,0.3046074222
CAJQIP_clean,0.0028052655,1.3290243917
CAJWIV_ion_b,0.0034178656,1.3412575388
CAKFIF_clean,0.0006638854,0.2797877183
CANRUG_clean,0.0031318882,1.3599660776
CANYIB_clean,0.0018988734,0.8737648941
CAPLOX_clean,0.0026597878,1.197533474
CAQCAZ_clean,0.0041063549,1.543604467
CARGEI_clean,6.6524e-05,0.0358961319
CASTEW_clean,0.004342803,1.5703290429
CASWIE_clean,0.0034425057,1.3811586117
CAVMIW_clean,0.0011702214,0.5432419984
CAVMIX_clean,0.0031384201,1.30096803
CAVMOD_clean,0.0020413119,0.848406052
CAVNOE_clean,0.0023877588,0.8497258063
CAVPEW_manual,0.0024548775,1.1807302776
CAVPIA_manual,0.0024274532,1.165807013
CAVPUM_manual,0.0025683188,1.2219962233
CAVRAU_clean,0.0032785681,1.2968681854
CAVREY_clean,0.0032163283,1.3047940274
CAVSUP_clean,0.0010891547,0.505552981
CAVTAW_clean,0.0006703554,0.3311596906
CAVVUS_clean,0.0025009162,1.0879221982
CAWDOU02_clean,0.0028504355,1.2268327337
CAWGAJ_clean,0.0010025459,0.4154235201
CAWVIH_SL,0.0023777807,0.9586814823
CAWZUX_clean,0.0008224333,0.3376584687
CAXSUR_SL,0.0016649758,0.8366065167
