mof_name,base_atoms,core_atoms
c5nj01930c_c5nj01930c2_clean,332,332
GEGGUW_clean,132,132
OFOCUI_clean,408,408
XALXUF01_clean,480,480
YUCNEQ_clean,22,22
IGAHED02_clean,22,22
SOVLEW_clean,544,544
acs.inorgchem.6b01416_ic6b01416_si_004_clean,592,592
MOTVOI_clean,254,254
XATLIQ_clean,220,220
SEFVEG02_clean,276,276
OVIZUP_clean,472,472
QARLUT_clean,680,680
DOTFID_clean,924,924
EDADET_clean,72,72
HUPQIU_clean,1803,1803
HASTAY_clean,462,462
NARNIG_clean,144,144
ja302340b_si_002_clean,588,588
VOPPAT_clean,604,604
XEXLAP_clean,144,144
POKSEP_clean,118,118
NACYUM_clean,168,168
UNACIW_clean,120,120
DOTFOJ_clean,1180,1180
ZUQBUK_clean,228,228
IDIXAU_clean,204,204
WEYQAU04_clean,152,152
DUXLUF02_clean,630,630
SAMVIO_clean,184,184
DOKHOB_clean,194,194
FUVDEH13_clean,360,360
ja073612tsi20070723_060520_clean,66,66
BOWRAH_clean,66,66
EPEYAB_clean,576,576
HAKWAU_clean,100,100
FIJDUY_clean,72,72
AWAREV_clean,270,270
RUFRIV_clean,198,198
PENXUC_clean,84,84
BAWROI_clean,824,824
SOZGIZ_clean,416,416
IFEPUG10_clean,360,360
HAWGIY_clean,211,211
YORGOD_clean,214,214
QUXQUX_clean,120,120
GADMAA01_clean,166,166
OPAPOL_clean,110,110
POYPAW_clean,652,652
NIGFOZ_clean,76,76
OLANAS_clean,390,390
cm501138g_si_005_clean,156,156
