folder,filename,num_atoms,a,b,c,aspect_ratio_ab,aspect_ratio_ac,aspect_ratio_bc
,NIYJAI_clean.cif,294,15.3846,15.610913186373818,19.2713,0.9855028861110215,0.7983166677909638,0.8100602028080004
,FUTZEB_clean.cif,76,9.2987,11.4189,16.67,0.8143253728467715,0.5578104379124175,0.68499700059988
,YUXQIS_clean.cif,234,11.69,25.290000000000003,25.29,0.4622380387504942,0.46223803875049424,1.0000000000000002
,DILXED_clean.cif,552,12.2549,13.569899999999999,38.232,0.9030943485213598,0.32054038501778614,0.354935655994978
,QOBWEJ01_clean.cif,48,9.9803,10.1842,10.4375,0.9799787906757526,0.9561964071856287,0.9757317365269461
,CAYDEN_clean.cif,96,7.9073,12.2996,12.2996,0.6428908257179096,0.6428908257179096,1.0
,OLAQOI_clean.cif,1398,20.76,34.580000000000005,34.58,0.6003470213996529,0.600347021399653,1.0000000000000002
,WUXYUL_clean.cif,130,5.2419,12.079,21.254,0.4339680437122278,0.24663122235814433,0.5683165521784135
,SAPHOI_clean.cif,486,17.813,19.908384345546473,31.48898951076839,0.8947486491531789,0.5656897943298063,0.632233191818948
,VOCKUT_clean.cif,114,10.5344,11.9073,14.0461,0.8847009817506908,0.7499875410256228,0.8477299748684688
