GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_STD_HIGH_1,MAE_MEAN_HIGH_1,MAE_STD_HIGH_1,INPUT_HIGH_1
Ar,293,0.55,random_struct__cat_TRAIN_RATIO0.55,0.01,0.927431973331612,0.014191885381924,0.0205407693747886,0.0008058125182374,struct+input
Ar,293,0.55,random_struct__gbm_TRAIN_RATIO0.55,0.01,0.9444435820786398,0.0120119893632362,0.0190828158766393,0.000636445657356,struct+input
Ar,293,0.55,random_struct__rf_TRAIN_RATIO0.55,0.01,0.9351549479387552,0.0131889742108221,0.0197460792329874,0.0007093251536654,struct+input
Ar,293,0.6,qt_then_rd__cat_TRAIN_RATIO0.6,0.01,0.9864258667004628,0.0004119338394516,0.0124080580831138,0.0001178090471725,struct+input
Ar,293,0.6,qt_then_rd__gbm_TRAIN_RATIO0.6,0.01,0.986837719630216,0.0004088279779601,0.0113463465841543,0.000138229998078,struct+input
Ar,293,0.6,qt_then_rd__rf_TRAIN_RATIO0.6,0.01,0.98600664373165,0.0004274818880377,0.0113475428259674,9.573051823127782e-05,struct+input
Ar,293,0.6,random_struct__cat_TRAIN_RATIO0.6,0.01,0.9374817816375604,0.0179454491064667,0.020038705729945,0.0007691949751527,struct+input
Ar,293,0.6,random_struct__gbm_TRAIN_RATIO0.6,0.01,0.9487642316408698,0.0152867500418828,0.0186419502479469,0.0007197827545601,struct+input
Ar,293,0.6,random_struct__rf_TRAIN_RATIO0.6,0.01,0.9435734489603522,0.0145620074333449,0.0191384778232224,0.0006586176415175,struct+input
Ar,293,0.65,qt_then_rd__cat_TRAIN_RATIO0.65,0.01,0.9859769000917084,0.0009264549206981,0.0123986066789713,0.0001725463848274,struct+input
Ar,293,0.65,qt_then_rd__gbm_TRAIN_RATIO0.65,0.01,0.9867142579315444,0.0010557938093744,0.0112359203606989,0.0001853254596255,struct+input
Ar,293,0.65,qt_then_rd__rf_TRAIN_RATIO0.65,0.01,0.9857118393959118,0.0011632355901111,0.0112831725680121,0.0001404075237431,struct+input
