---- START at 2025-03-26 22:58:33, Target=6013/6013 ----
[1/6013] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[137/6013] REFTON_SL_helium_293.0K_0.05bar_14.0 Done. TimeForThis=102.0s, Completed=132/6013, ETA=2025-03-27 03:50:05
[144/6013] XIMPOA01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=79.3s, Completed=133/6013, ETA=2025-03-27 03:50:08
[145/6013] ESURER04_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=80.8s, Completed=134/6013, ETA=2025-03-27 03:49:52
[149/6013] MISQIQ05_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=72.1s, Completed=135/6013, ETA=2025-03-27 03:47:58
[147/6013] PIZSAU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=78.4s, Completed=136/6013, ETA=2025-03-27 03:48:11
[122/6013] EHIHOU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=150.3s, Completed=137/6013, ETA=2025-03-27 03:46:07
[135/6013] QOKCID_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=118.9s, Completed=138/6013, ETA=2025-03-27 03:44:20
[141/6013] UNIPAJ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=96.2s, Completed=139/6013, ETA=2025-03-27 03:43:01
[146/6013] c5dt01526j_c5dt01526j2_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=88.8s, Completed=140/6013, ETA=2025-03-27 03:44:03
[129/6013] ODODES_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=140.5s, Completed=141/6013, ETA=2025-03-27 03:42:06
[150/6013] MIFROK_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=74.2s, Completed=142/6013, ETA=2025-03-27 03:42:05
[157/6013] DEPXAY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.1s, Completed=143/6013, ETA=2025-03-27 03:44:43
[116/6013] GUJGEY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=182.8s, Completed=144/6013, ETA=2025-03-27 03:43:24
[59/6013] ja5b00450_si_003_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=325.0s, Completed=145/6013, ETA=2025-03-27 03:43:47
[160/6013] INIDAL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=55.9s, Completed=146/6013, ETA=2025-03-27 03:43:29
[155/6013] ZASJAG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=74.2s, Completed=147/6013, ETA=2025-03-27 03:42:21
[159/6013] XILSIW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=61.4s, Completed=148/6013, ETA=2025-03-27 03:40:46
[153/6013] SUQHUJ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=84.6s, Completed=149/6013, ETA=2025-03-27 03:44:16
[158/6013] SEFVEG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=73.9s, Completed=150/6013, ETA=2025-03-27 03:44:00
[163/6013] ja5b02777_si_004_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=57.4s, Completed=151/6013, ETA=2025-03-27 03:42:43
[172/6013] FIPJAR01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=40.8s, Completed=152/6013, ETA=2025-03-27 03:44:54
[171/6013] ILASIZ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=45.9s, Completed=153/6013, ETA=2025-03-27 03:46:06
[162/6013] LAMGUB_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=77.2s, Completed=154/6013, ETA=2025-03-27 03:47:36
[173/6013] QUQPOI_SL_helium_293.0K_0.05bar_14.0 Done. TimeForThis=53.0s, Completed=155/6013, ETA=2025-03-27 03:47:56
[143/6013] NUNSIA_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=143.5s, Completed=156/6013, ETA=2025-03-27 03:47:51
